CODIGO,DETALLE,PRECIO
0885359952886,SABANAS BROOKLYN STRIPE HERRINGBONE PI ESQ39843,7990
0885359961376,SABANAS ASST SOLID 4PC ESF40728FB,7990
0885359961383,SABANAS ASST SOLID 4PC ESQ40728FB,7990
0885359961390,SABANAS ASST SOLID 4PC ESK40728FB,7990
0885359961413,SABANAS ASST PIGMENT 4PC ESF40729FB,7990
0887947048407,EDREDON FQ DA LACY BLUSH BLM-006FQ,7990
0887947061192,EDREDON FQ DA STRIPE IVORY BLM-014F Q,8990
1639510123108,SILLA CONFERENCIA ROJA L16395 1 1,19900
1681242186128,TOALLA PLAYA MEDIANA 90X180 G42186-12,3900
1915217354671,SILLA CALADA P19152-17,24990
2000000006208,PELLET PUROPELLET 6 MM 18 KG BIOENERGIA EX 20 KG,5290
2083467599971,KARAOKID UD-ASIA01 URBANO UD-ASIA01,7990
2304201900038,KEYBOARD - MOUSE UD-DDES25,14990
2501006000004,V.ASADO CARNICERO NACIONAL,13490
2501029000005,V.CHOCLILLO NACIONAL VARA,14990
2501033000008,V.POSTA PALETA NACIONAL,15990
2501037000004,V.POSTA ROSADA NACIONAL,15990
2501041000007,V.POSTA NEGRA NACIONAL,15990
2501045000003,V.LOMO VETADO NACIONAL,18990
2501046000002,V.LOMO VETADO BRASIL VACIO,999999
2501049000009,V.LOMO LISO NACIONAL VARA,18290
2501065000007,V.SOBRECOSTILLA BRA PORC.,7590
2501069000003,V.SOBRECOSTILLA NACIONAL,13490
2501073000006,V.PUNTA PALETA NACIONAL,13490
2501090000003,V.ASADO CARNICERO BRASIL VACIO,7590
2501094000009,V.SOBREC-HUACHA,13490
2501095000008,V-CARNE MOLIDA CORRIENTE,12000
2501199000003,V.PUNTA PALETA BRASIL KG.,7990
2501217000008,V.LOMO VETADO BRASIL PORC.,13690
2501288000006,TOCINO CERDITO VARA,1990
2501441000003,V.CHOCLILLO VACIO BRASIL KG.,8990
2501498000001,CHULETA CENTRO CONG BRASIL,4990
2501607000007,V.TAPAPECHO PORC. PGY FRIGOMERC.,5690
2501619000002,PECHUGA DE POLLO DESH. CONGELADA,6490
2501696000001,V.POSTA PALETA BRA PORC.,8990
2502021000000,PULPA PIERNA CERDITO VARA,7690
2502025000006,CHULETA VETADA CERDITO VARA,6690
2502027000004,CHULETA CENTRO CERDITO VARA,6290
2502034000004,COSTILLAR CERDITO VARA,7690
2502037000001,PERNIL MANO CERDITO VARA,2990
2502038000000,PERNIL PIERNA CERDITO VARA,2990
2502040000005,PAVITA SADIA CONG KILO,5400
2502045000000,PECHUGA ENTERA SUPER KG,3690
2502075000001,TRUTRO ENTERO SUPER GRANEL KG,2990
2502108000008,POLLO ASADO BOLSA CUGAT..,9690
2502201000004,COSTILLA PAVO GRANEL SOPRAVAL,5790
2502320000008,PALETA CHUESO CERDITO VARA,5490
2502321000007,FILETE DE CERDITO VARA PREMIUM,7990
2502322000006,LOMITO DE CERDO VARA,8290
2502331000004,COSTILLAR CHILENO SUPERCERDO,11990
2502345000007,COSTILLAR TRADICIONAL SUPERCERDO,11990
2502350000009,CHULETA CERDO AHUMADA SAN MARTIN,5690
2502352000007,COSTILLAR BARBECUE DON RODRIGO,8990
2502436000008,TRUTRO ENTERO ARIZTIA KG,3290
2502473000009,PECHUGA ENTERA DON POLLO,4990
2502569000005,MALAYA DE CERDITO,9990
2502580000008,CHULETA VETADA IMP C,5290
2503100000003,LONGANIZA ARTESANAL DON RODRIGO KG,1899
2503157000001,LOMO VETADO CERDITO VARA,8290
2503218000001,V.HUACHALOMO BRA PORC.,7590
2503566000005,TRUTRO CUARTO BLOCK CAJA 15,37990
2504789000001,COSTILLAR AHUMADO DON RODRIGO,8990
2504880000009,COSTILLAR ALINADO DON RODRIGO,8990
2520106000004,PIZZA FAMILIAR JAMON-QUESO CUGAT,3290
2520107000003,PAN MOLDE BCO FAMILIAR 700GRS APROX,2290
2520110000007,PAN MOLDE INTEGRAL FAMILIAR 700 GRS APROX,2290
2520190000003,PIZZA FAMILIAR ESPANOLA CUGAT,3290
2520930000003,HALLULLA PRE HORNEADO 6 UNID C-,999999999
2520940000000,MARRAQUETA PRE HORNEADA 4 UNID-CUGAT,790
2521001000007,HALLULLA CORRIENTE KILO,1990
2521003000005,PAN MARRAQUETA CUGAT KILO,1999
2521008000000,PAN HOT DOG KILO,2990
2521131000007,PAN HALLULLA FLACA,1590
2521201000005,COLIZA PERUANA KILO,2290
2522021000008,CORONA RELLENA UND 220GRS,3490
2522036000000,TORTA SELVA NEGRA 15 PERSONAS,9490
2522042000001,TORTA DURAZNO 15PERS.,9490
2522047000006,BRAZO DE REINA UNIDAD,4990
2522120000008,TORTA PINA 15 PERSONAS,9490
2522202000001,TORTA DIA DE LA MADRE 15P FRAMBUESA,10990
2522238000006,TORTA CHOCOLATE 15 PERS.,9490
2522280000009,BERLINA CHOCO AVELLANA IMPORTADA,890
2522281000008,BERLINA RELLENA VAINILLA IMPORTADA,890
2522282000007,DONUT CARAMELO IMPORTADA,890
2522283000006,DONUT CLASICA IMPORTADA,890
2522284000005,DONUT CHOC AVELLANA IMPORTADA,890
2522285000004,DONUT DOBLE CHOC IMPORTADA,890
2522286000003,DONUT PLAIN IMPORTADA,890
2522287000002,DONUT RELLENA FRUTILLA IMPORTADA,790
2522288000001,DONUT RELLENA FRUTILLA IMPORTADA,890
2522289000000,DONUT VAINILLA IMPORTADA,890
2522290000006,MUFFIN ARANDANO IMPORTADO,990
2522291000005,MUFFIN CHOCOLATE IMPORTADO,1290
2522292000004,TRENZA DE NUEZ DINAMARCA IMPORTADA,990
2522293000003,DONUTS MARSHMALLOW IMPORTADA,890
2522294000002,DONUT CAPPUCCINO IMPORTADA,890
2522295000001,DONUT LOVE IMPORTADA,890
2522296000000,MUFFIN WEDEL IMPORTADO,1290
2522297000009,MUFFIN CHOCO RELLENO FRAMBUESA IMPORTADO,990
2522299000007,BERLINA MERMELADA FRAMBUESA IMPORTADA,999999999
2522300000002,TORTA DIA DEL NINO MARSHMALLOW 15P,10990
2522312000007,CORONA DE FRAMBUESA PASTELERIA DANESA,890
2522313000006,CORONA DE VAINILLA PASTELERIA DANESA,890
2522314000005,MUSCOVADO PASTELERIA DANESA,990
2522315000004,ROLLO DE CANELA IMPORTADO,990
2523105000006,MASA EMPANADASX10 UND CUGAT 150G,3490
2526387000009,TORTA DIA DEL PADRE 15P,10990
2529957000003,TARTALETA INDIVIDUAL FRUTA CHICA,1690
2531003000004,LONGANIZA PARRILLERA CHILLAN KG,2749
